MLService,Model,Version,GCC,LCC,Period,PayrollService,System,Client,ABKRS,PERNR,PersArea,EmpGroup,EmpSubgroup,ForPeriod,TaxableGross,Year,FilingStatus,TaxExIndicator,ExtraTaxAmount,NumExemptions,FedTaxWithholding
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991082,ZUS1,1,80,201901,9583.34,2019,1,,0,0,1738.54
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991084,ZUS1,1,80,201901,8625,2019,1,,0,0,1508.54
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991105,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991107,ZUS1,1,80,201901,4791.66,2019,1,,0,0,639.37
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991108,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991109,ZUS1,1,80,201901,4791.66,2019,1,,0,0,639.37
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991110,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991111,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991112,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991113,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991114,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991115,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991116,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991117,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991118,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991119,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991121,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991122,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991124,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991125,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991127,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991128,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991130,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991131,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991133,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991134,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991135,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991138,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991139,ZUS1,1,80,201901,6708.34,2019,1,,0,0,1061.04
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991140,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991141,ZUS1,1,80,201901,6708.34,2019,1,,0,0,1061.04
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991142,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991144,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991145,ZUS1,1,80,201901,4791.66,2019,1,,0,0,639.37
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991147,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991149,ZUS1,1,80,201901,4791.66,2019,1,,0,0,639.37
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991150,ZUS1,1,80,201901,6708.34,2019,1,,0,0,1061.04
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991155,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991156,ZUS1,1,80,201901,4791.66,2019,1,,0,0,639.37
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991159,ZUS1,1,80,201901,5750,2019,1,,0,0,850.21
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991160,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991161,ZUS1,1,80,201901,4791.66,2019,1,,0,0,639.37
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991163,ZUS1,1,80,201901,4791.66,2019,1,,0,0,639.37
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991177,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991178,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991180,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991181,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991188,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991192,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991196,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991213,ZUS1,1,80,201901,4791.66,2019,1,,0,0,639.37
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991215,ZUS1,1,80,201901,4791.66,2019,1,,0,0,639.37
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991217,ZUS1,1,80,201901,4791.66,2019,1,,0,0,639.37
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991218,ZUS1,1,80,201901,4791.66,2019,1,,0,0,639.37
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991220,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991221,ZUS1,1,80,201901,4791.66,2019,1,,0,0,639.37
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991222,ZUS1,1,80,201901,4791.66,2019,1,,0,0,639.37
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991223,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991224,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991226,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991227,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991228,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991229,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991231,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991232,ZUS1,1,80,201901,3354.16,2019,1,,0,0,348.33
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991234,ZUS1,1,80,201901,4791.66,2019,1,,0,0,639.37
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991235,ZUS1,1,80,201901,5750,2019,1,,0,0,850.21
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991236,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991237,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991238,ZUS1,1,80,201901,4791.66,2019,1,,0,0,639.37
TWV,T001,2,ZZZ,Z10,201901,EUH,EDF,402,ZZ,99991240,ZUS1,1,80,201901,1916.66,2019,1,,0,0,175.83
